age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
80,State-gov,89686,Some-college,8,Married-spouse-absent,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Female,8614,1902,20,Puerto-Rico,>50K
21,Self-emp-not-inc,215646,Prof-school,4,Separated,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,14084,2042,24,Jamaica,>50K
26,Local-gov,83311,Assoc-acdm,12,Widowed,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,9386,1887,42,India,>50K.
65,Self-emp-inc,89686,12th,2,Married-civ-spouse,,Husband,White,Male,3411,0,38,Honduras,<=50K.
33,Never-worked,350977,1st-4th,10,Widowed,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,4650,1564,48,Puerto-Rico,<=50K
88,State-gov,173449,Prof-school,2,Widowed,Other-service,Not-in-family,Other,Male,594,1719,52,Jamaica,>50K
78,State-gov,173449,12th,12,Married-AF-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,34095,2179,44,Italy,>50K.
90,,215646,Masters,8,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Female,3411,1719,32,Canada,<=50K.
55,Self-emp-inc,77516,11th,13,Never-married,Sales,Wife,White,Male,15024,2179,15,Philippines,>50K.
86,?,89686,7th-8th,3,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Male,3411,2042,45,Germany,<=50K.
82,Private,173449,10th,2,Married-AF-spouse,Craft-repair,Own-child,Black,Male,2174,2206,43,Cambodia,>50K
72,?,350977,Masters,9,Never-married,Handlers-cleaners,Not-in-family,Black,Female,2597,1762,35,Iran,>50K.
82,?,173449,Assoc-acdm,15,Divorced,,Other-relative,Amer-Indian-Eskimo,Female,2174,1719,60,England,>50K.
66,State-gov,89686,9th,11,Widowed,Transport-moving,Unmarried,White,Female,4101,2206,28,Puerto-Rico,>50K
35,?,77516,11th,16,Divorced,Exec-managerial,Husband,Other,Male,4064,1977,42,Cambodia,>50K.
73,Self-emp-not-inc,77516,HS-grad,11,Divorced,Sales,Husband,White,Male,2050,2179,35,Columbia,<=50K.
19,,83311,11th,16,Divorced,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,4386,1719,24,South,>50K.
78,Private,77516,7th-8th,2,Married-AF-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Male,2176,1902,55,Iran,>50K
34,Never-worked,77516,7th-8th,2,Married-AF-spouse,Craft-repair,Wife,White,Male,2176,1762,44,?,<=50K
57,Self-emp-inc,215646,1st-4th,1,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Female,3464,1564,22,Jamaica,<=50K
76,Local-gov,173449,11th,9,Married-civ-spouse,Exec-managerial,Unmarried,Other,Male,14344,0,52,Italy,>50K
37,Self-emp-inc,215646,7th-8th,1,Widowed,Exec-managerial,Not-in-family,Black,Male,2176,1719,70,England,>50K
63,?,89686,Preschool,15,Married-AF-spouse,Exec-managerial,Husband,White,Female,6849,1762,50,Italy,<=50K
18,Self-emp-not-inc,215646,7th-8th,1,Separated,Sales,Husband,Black,Male,4064,1485,35,Italy,<=50K.
45,Never-worked,215646,Assoc-acdm,2,Married-civ-spouse,Farming-fishing,Wife,Other,Female,6849,2179,45,United-States,<=50K
41,State-gov,173449,1st-4th,8,Married-civ-spouse,Adm-clerical,Wife,White,Male,3411,0,40,Germany,>50K
59,,215646,11th,15,Married-spouse-absent,Protective-serv,Not-in-family,Other,Male,4650,1887,24,Poland,>50K.
33,Self-emp-not-inc,350977,1st-4th,15,Divorced,,Other-relative,Black,Male,4386,1573,43,Cambodia,<=50K
45,Never-worked,215646,11th,9,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,2050,1719,30,South,<=50K.
81,?,215646,Assoc-voc,11,Widowed,Farming-fishing,Not-in-family,Black,Female,7688,1408,13,Germany,>50K.
79,Local-gov,89686,1st-4th,5,Separated,Transport-moving,Not-in-family,White,Male,3411,1719,15,?,>50K
51,Self-emp-inc,215646,Assoc-voc,2,Married-spouse-absent,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,2176,1564,22,Cuba,<=50K.
75,Federal-gov,173449,Doctorate,8,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,4064,2042,70,Columbia,>50K
20,Never-worked,215646,Masters,1,Married-spouse-absent,Adm-clerical,Other-relative,Other,Male,20051,1816,45,Honduras,>50K.
78,?,83311,11th,4,Widowed,Prof-specialty,Unmarried,Other,Female,25236,0,30,India,>50K
51,Self-emp-not-inc,83311,11th,4,Divorced,?,Husband,Black,Male,7688,1485,22,Honduras,<=50K.
28,,215646,Some-college,12,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,4650,1741,43,?,<=50K.
50,Federal-gov,173449,HS-grad,12,Married-civ-spouse,Sales,Other-relative,White,Male,2597,1902,22,Cuba,<=50K.
66,State-gov,215646,Preschool,7,Married-AF-spouse,Protective-serv,Other-relative,Other,Female,1111,2179,58,Puerto-Rico,>50K.
44,State-gov,89686,9th,16,Married-AF-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,1055,1573,70,Poland,<=50K.
67,Never-worked,83311,Masters,8,Married-spouse-absent,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,2174,1485,36,Puerto-Rico,>50K
23,Never-worked,350977,11th,3,Never-married,Craft-repair,Wife,Amer-Indian-Eskimo,Female,4101,1741,24,Iran,>50K
24,Federal-gov,83311,Some-college,12,Married-AF-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,3411,2206,44,Italy,>50K
64,Federal-gov,77516,7th-8th,15,Married-AF-spouse,Protective-serv,Unmarried,Asian-Pac-Islander,Male,14084,0,42,England,<=50K.
36,Without-pay,77516,5th-6th,3,Divorced,Craft-repair,Wife,Other,Female,14344,1902,42,Columbia,<=50K
58,Self-emp-not-inc,83311,5th-6th,9,Married-civ-spouse,Farming-fishing,Own-child,Asian-Pac-Islander,Male,20051,1977,25,Germany,<=50K
51,State-gov,89686,10th,3,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,2050,1762,28,Columbia,<=50K
42,Self-emp-not-inc,215646,5th-6th,12,Married-spouse-absent,Craft-repair,Unmarried,Black,Female,4386,1887,15,Iran,>50K
47,?,77516,Assoc-voc,5,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,15024,1980,45,Puerto-Rico,<=50K
38,Without-pay,215646,9th,5,Married-spouse-absent,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,1111,1977,38,Columbia,<=50K
63,Never-worked,89686,Some-college,9,Married-civ-spouse,?,Husband,Other,Male,3411,1408,15,Jamaica,>50K.
44,Private,89686,12th,3,Widowed,Armed-Forces,Husband,Asian-Pac-Islander,Female,2174,1573,15,Iran,<=50K.
38,Private,350977,Preschool,8,Never-married,Other-service,Wife,White,Female,6849,1719,22,Mexico,<=50K
80,State-gov,83311,5th-6th,8,Married-civ-spouse,?,Own-child,Amer-Indian-Eskimo,Male,20051,1887,46,?,<=50K
85,Without-pay,89686,Assoc-acdm,7,Married-AF-spouse,Other-service,Other-relative,White,Female,3464,2042,15,India,<=50K.
88,Self-emp-inc,89686,Doctorate,11,Widowed,Transport-moving,Husband,Black,Female,20051,0,45,Philippines,>50K
79,State-gov,83311,HS-grad,2,Separated,Craft-repair,Wife,White,Male,4650,1340,55,Poland,>50K
61,Local-gov,83311,1st-4th,12,Married-civ-spouse,Priv-house-serv,Husband,Asian-Pac-Islander,Male,4386,1741,15,Cuba,>50K
52,Self-emp-not-inc,215646,Preschool,7,Divorced,Transport-moving,Own-child,Asian-Pac-Islander,Female,1055,1762,25,South,<=50K.
86,Private,215646,Some-college,4,Separated,Other-service,Other-relative,White,Male,14344,1980,24,Puerto-Rico,<=50K.
73,Private,350977,1st-4th,6,Widowed,Protective-serv,Other-relative,Other,Male,594,1762,20,Ecuador,>50K
81,?,83311,Preschool,7,Married-AF-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,7688,1340,46,United-States,<=50K.
46,Private,77516,7th-8th,15,Divorced,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,594,1977,48,Philippines,<=50K
29,State-gov,77516,Bachelors,8,Married-civ-spouse,Protective-serv,Wife,Other,Female,8614,2206,30,Columbia,<=50K
38,,77516,Prof-school,9,Separated,Craft-repair,Not-in-family,Other,Male,5013,2179,41,South,<=50K
30,Private,350977,Doctorate,3,Married-spouse-absent,,Unmarried,Other,Male,3674,1564,20,?,>50K.
38,Local-gov,350977,Doctorate,3,Separated,Sales,Not-in-family,Asian-Pac-Islander,Female,14084,1719,44,United-States,<=50K
87,Without-pay,77516,Assoc-acdm,1,Married-AF-spouse,Priv-house-serv,Not-in-family,White,Male,34095,2206,52,England,>50K.
25,?,89686,10th,1,Never-married,Handlers-cleaners,Own-child,Other,Female,4386,2179,60,India,<=50K.
75,Self-emp-inc,77516,HS-grad,10,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Male,3411,1762,24,England,>50K.
43,Never-worked,173449,11th,4,Widowed,Transport-moving,Wife,Amer-Indian-Eskimo,Female,594,1340,20,Columbia,<=50K.
81,Self-emp-not-inc,173449,12th,4,Married-civ-spouse,Armed-Forces,Husband,Other,Male,3674,1485,24,Germany,>50K.
57,Federal-gov,173449,7th-8th,2,Separated,?,Unmarried,Asian-Pac-Islander,Male,4386,1741,55,Italy,>50K.
83,Local-gov,215646,Masters,12,Divorced,Craft-repair,Wife,Black,Male,5178,1564,45,Mexico,<=50K
